<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BCH-USD,D,06/06/20,00:00:00,252.9800000
GDAX.BCH-USD,D,07/06/20,00:00:00,253.8200000
GDAX.BCH-USD,D,08/06/20,00:00:00,255.6500000
GDAX.BCH-USD,D,09/06/20,00:00:00,254.1600000
GDAX.BCH-USD,D,10/06/20,00:00:00,257.3200000
GDAX.BCH-USD,D,11/06/20,00:00:00,234.5900000
GDAX.BCH-USD,D,12/06/20,00:00:00,240.7200000
GDAX.BCH-USD,D,13/06/20,00:00:00,240.6200000
GDAX.BCH-USD,D,14/06/20,00:00:00,237.1600000
GDAX.BCH-USD,D,15/06/20,00:00:00,235.7700000
GDAX.BCH-USD,D,16/06/20,00:00:00,237.5000000
GDAX.BCH-USD,D,17/06/20,00:00:00,240.1700000
GDAX.BCH-USD,D,18/06/20,00:00:00,235.6700000
GDAX.BCH-USD,D,19/06/20,00:00:00,233.1000000
GDAX.BCH-USD,D,20/06/20,00:00:00,232.7100000
GDAX.BCH-USD,D,21/06/20,00:00:00,229.9900000
GDAX.BCH-USD,D,22/06/20,00:00:00,241.0800000
GDAX.BCH-USD,D,23/06/20,00:00:00,240.5200000
GDAX.BCH-USD,D,24/06/20,00:00:00,232.4300000
GDAX.BCH-USD,D,25/06/20,00:00:00,231.8300000
GDAX.BCH-USD,D,26/06/20,00:00:00,230.4900000
GDAX.BCH-USD,D,27/06/20,00:00:00,216.2700000
GDAX.BCH-USD,D,28/06/20,00:00:00,222.3100000
GDAX.BCH-USD,D,29/06/20,00:00:00,225.3400000
GDAX.BCH-USD,D,30/06/20,00:00:00,222.0300000
GDAX.BCH-USD,D,01/07/20,00:00:00,223.8000000
GDAX.BCH-USD,D,02/07/20,00:00:00,219.6700000
GDAX.BCH-USD,D,03/07/20,00:00:00,220.6900000
GDAX.BCH-USD,D,04/07/20,00:00:00,225.3100000
GDAX.BCH-USD,D,05/07/20,00:00:00,222.1100000
GDAX.BCH-USD,D,06/07/20,00:00:00,242.2900000
GDAX.BCH-USD,D,07/07/20,00:00:00,237.7700000
GDAX.BCH-USD,D,08/07/20,00:00:00,243.3000000
GDAX.BCH-USD,D,09/07/20,00:00:00,238.1800000
GDAX.BCH-USD,D,10/07/20,00:00:00,238.2700000
GDAX.BCH-USD,D,11/07/20,00:00:00,236.6500000
GDAX.BCH-USD,D,12/07/20,00:00:00,237.5700000
GDAX.BCH-USD,D,13/07/20,00:00:00,231.9000000
GDAX.BCH-USD,D,14/07/20,00:00:00,230.0500000
GDAX.BCH-USD,D,15/07/20,00:00:00,227.2400000
GDAX.BCH-USD,D,16/07/20,00:00:00,224.1400000
GDAX.BCH-USD,D,17/07/20,00:00:00,222.5000000
GDAX.BCH-USD,D,18/07/20,00:00:00,224.3500000
GDAX.BCH-USD,D,19/07/20,00:00:00,227.8700000
GDAX.BCH-USD,D,20/07/20,00:00:00,222.8000000
GDAX.BCH-USD,D,21/07/20,00:00:00,230.6200000
GDAX.BCH-USD,D,22/07/20,00:00:00,240.3200000
GDAX.BCH-USD,D,23/07/20,00:00:00,238.5600000
GDAX.BCH-USD,D,24/07/20,00:00:00,235.3700000
GDAX.BCH-USD,D,25/07/20,00:00:00,251.4700000
GDAX.BCH-USD,D,26/07/20,00:00:00,247.7700000
GDAX.BCH-USD,D,27/07/20,00:00:00,268.9100000
GDAX.BCH-USD,D,28/07/20,00:00:00,289.7000000
GDAX.BCH-USD,D,29/07/20,00:00:00,287.8700000
GDAX.BCH-USD,D,30/07/20,00:00:00,292.0000000
GDAX.BCH-USD,D,31/07/20,00:00:00,301.2100000
GDAX.BCH-USD,D,01/08/20,00:00:00,319.6700000
